"Txhash","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x77caea49689331e384500c83882aab49935abf178e12815385628baad7273b2c","1711636425","2024-03-28 14:33:45","0x5d5d96abd337c830dc96a396f4ef32a2fdc3563d","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","582.16125982","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0x16f4a1a614f90b01b0a491feee4ea8c316e446223482065ea44c5892c184c575","1711649371","2024-03-28 18:09:31","0x20fe51a9229eef2cf8ad9e89d91cab9312cf3b7a","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","1","N/A","0x54d2cde1f6cade45318bcad4b5e05803965bbb19","# blast2l.com","Visit blast2l.com to claim rewards"
"0x39da42455f2b296a2bc8f24d511da42898404db466a58853ee54307b78c5f517","1711653617","2024-03-28 19:20:17","0x8441fa93a8f2e372aba8a9f94f9dd78e9fb7ea36","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","534.817847653382647039","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0x00c458b32046e16e4f8527d077a4dc9ee1c4ec94bfb09af13b90c6ed93fc53de","1711657237","2024-03-28 20:20:37","0x511affbf7afdf2488fb1cba6e5d19508cff2e4a5","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","534","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0x99385cc23f8a9dae00a17d0ade75fb97a95f5007af09e94dc7fe1acf16df6dc0","1711658381","2024-03-28 20:39:41","0x19008e616714d8df0b69f23db9ad779251923b84","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","259.41590721207297","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0xd0d67082474f348e68a848ece6e405ef6ca5bbda01f9596154d4045cbb0cf32c","1711695909","2024-03-29 07:05:09","0xd152f549545093347a162dce210e7293f1452150","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","112","N/A","0x4229c271c19ca5f319fb67b4bc8a40761a6d6299","NEGED","NEGED"
"0xe19e69ff9fe1057f7ca0a7219d8f78deddee3e608ddc92adbb5183f01cbe5e01","1711767585","2024-03-30 02:59:45","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","1,752,393","N/A","0x83e7e958f6e637f203de1080a4256ded55e0fc77","Degen","Airdrop: degen.gifts/?claim"
"0x635968c8a1fa4b094be4d5037e1cb29d63bb368b90a3e42547364bc9dc38cddc","1711794397","2024-03-30 10:26:37","0x3c12b77ae8b7dd1feb63d1d6a2a819acda0a41d2","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","76,040,309.603435687194296582","N/A","0x0aea96205e642a2265f6a044382c9b2e8182443e","DegenBase","DB"
"0x3e7c4bd35c123835b6195cddd9e21e322bb7d7383e8af406ed340009ea603cde","1711824357","2024-03-30 18:45:57","0x04333a1788a47068b9102d2d35695c312a0b312f","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","1,000","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0xea1e89c181d7e764c51b47c2e6b838e3a40044fee4f48e49f2a929b09273e65a","1711843801","2024-03-31 00:10:01","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","3,645,170","N/A","0x3a93a73741a574e6663a4cecba28853554ecd7dc","Degen","Airdrop: degen.gifts/?claim"
"0x1b64569765799b79574a9dbee3af5f70c0f6a23dd344dee200f2f3edfa11be48","1711863417","2024-03-31 05:36:57","0xe9ea9bc53afa54e625351be9b0c2ba8907bfac66","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","119.67993344061972","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0xcfc37acb38778e42ea2514e9963d00af9fecee685d2dc78c3c8766759a6ab3a1","1711896361","2024-03-31 14:46:01","0x8ade99af90ad1c36d341b3e553d29543e8020c35","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","227.99877174986335","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0xd9940b100e3779bcdc79f1243ada8d22685c021ff7f63a7493a1e428ee340ec7","1711896627","2024-03-31 14:50:27","0x0674ab75cbf5f3165fe70be116bed13df134664a","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","111.65758267","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0x3d9194eb875335ad315b85321c1497d32f7068c995df2623db725856fcd074f5","1711898441","2024-03-31 15:20:41","0x2ed1e660d9bada720af88023dce14d4360c091b4","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","220.87495784971105","N/A","0x4ed4e862860bed51a9570b96d89af5e1b0efefed","Degen","DEGEN"
"0x1fc7399e65d05865431f2a68b3cd4c1c6fbd3816ff6521d42052d8c3db1fcce3","1711940525","2024-04-01 03:02:05","0x05f99b98549b4feca2b3e5c57ade08e9aa543405","0x917cd75e2009e6193eec3b23cc89cf0cd59a28ed","36,184,634.4962086","N/A","0x0cb6e7d5c7130ab52f0308e8cf9bc3030d49466f","dogefer","$dogefer"
